18,"M","5000 Meters","F",19,"Zach Perrin","Colorado"
18,"M","5000 Meters","F",20,"Alfred Chelanga","Alabama"
18,"M","5000 Meters","F",21,"Chartt Miller","Iona"
18,"M","5000 Meters","F",22,"Colby Gilbert","Washington"
18,"M","5000 Meters","F",23,"Zach Long","Tennessee"
18,"M","5000 Meters","F",24,"Connor McMillan","BYU"
18,"M","10,000 Meters","F",1,"Ben Flanagan","Michigan"
18,"M","10,000 Meters","F",2,"Vincent Kiprop","Alabama"
18,"M","10,000 Meters","F",3,"Dillon Maggard","Utah State"
18,"M","10,000 Meters","F",4,"Tyler Day","Northern Arizona"
18,"M","10,000 Meters","F",5,"Matthew Baxter","Northern Arizona"
18,"M","10,000 Meters","F",6,"Jacob Thomson","Kentucky"
18,"M","10,000 Meters","F",7,"Gilbert Kigen","Alabama"
18,"M","10,000 Meters","F",8,"Robert Brandt","UCLA"
18,"M","10,000 Meters","F",9,"Colin  Bennie","Syracuse"
18,"M","10,000 Meters","F",10,"Arsène Guillorel","Samford"
18,"M","10,000 Meters","F",11,"Grant Fischer","Colorado St."
18,"M","10,000 Meters","F",12,"Connor McMillan","BYU"
18,"M","10,000 Meters","F",13,"Lawrence Kipkoech","Campbell"
18,"M","10,000 Meters","F",14,"Michael Crozier","Georgetown"
18,"M","10,000 Meters","F",15,"Frank Lara","Furman"
18,"M","10,000 Meters","F",16,"Alfred Chelanga","Alabama"
18,"M","10,000 Meters","F",17,"Emmanuel Roudolff-Levisse","Portland"
18,"M","10,000 Meters","F",18,"Jonathan Green","Georgetown"
18,"M","10,000 Meters","F",19,"Nahom Solomon","Georgia Tech"
18,"M","10,000 Meters","F",20,"Matt Welch","Portland"
18,"M","10,000 Meters","F",21,"Mike Tate","Southern Utah"
18,"M","10,000 Meters","F",22,"Conner Mantz","BYU"
18,"M","10,000 Meters","F",23,"Clayton Young","BYU"
18,"M","10,000 Meters","F",24,"Rory Linkletter","BYU"
18,"M","3000 Steeplechase","F",1,"Obsa Ali","Minnesota"
18,"M","3000 Steeplechase","F",2,"Jamaine Coleman","Eastern Kentucky"
18,"M","3000 Steeplechase","F",3,"Steven Fahy","Stanford"
18,"M","3000 Steeplechase","F",4,"Aidan Tooker","Syracuse"
18,"M","3000 Steeplechase","F",5,"Andrew Gardner","Washington"
18,"M","3000 Steeplechase","F",6,"Matt Owens","BYU"
18,"M","3000 Steeplechase","F",7,"Clayson Shumway","BYU"
18,"M","3000 Steeplechase","F",8,"Riley Osen","Portland"
18,"M","3000 Steeplechase","F",9,"Noah Affolder","Syracuse"
